date,country,D,H,I,M,S
2021-10-26,Japan,26,0,0,95,0
2021-10-26,Sweden,1,0,0,8,0
2021-10-27,Afghanistan,5,0,0,32,0
2021-10-27,Japan,26,0,0,95,0
2021-10-27,Sweden,1,0,0,8,0
2021-10-28,Afghanistan,5,0,0,32,0
2021-10-28,Japan,26,0,0,95,0
2021-10-28,Sweden,1,0,0,8,0
2021-10-29,Afghanistan,5,0,0,32,0
2021-10-29,Japan,26,0,0,95,0
2021-10-29,Sweden,1,0,0,8,0
2021-10-30,Afghanistan,5,0,0,32,0
2021-10-30,Japan,26,0,0,95,0
2021-10-30,Sweden,1,0,0,8,0
2021-10-31,Afghanistan,5,0,0,32,0
2021-10-31,Japan,26,0,0,95,0
2021-10-31,Sweden,1,0,0,8,0
2021-11-01,Afghanistan,5,0,0,32,0
2021-11-01,Japan,26,0,0,95,0
2021-11-01,Sweden,1,0,0,8,0
2021-11-02,Afghanistan,5,0,0,32,0
2021-11-02,Japan,26,0,0,95,0
2021-11-02,Sweden,1,0,0,8,0
2021-11-03,Afghanistan,5,0,0,32,0
2021-11-03,Japan,26,0,0,95,0
2021-11-03,Sweden,1,0,0,8,0
2021-11-04,Afghanistan,5,0,0,32,0
2021-11-04,Japan,26,0,0,95,0
2021-11-04,Sweden,1,0,0,8,0
2021-11-05,Afghanistan,5,0,0,32,0
2021-11-05,Japan,26,0,0,95,0
2021-11-05,Sweden,1,0,0,8,0
2021-11-06,Afghanistan,5,0,0,32,0
2021-11-06,Japan,26,0,0,95,0
2021-11-06,Sweden,1,0,0,8,0
2021-11-07,Afghanistan,5,0,0,32,0
2021-11-07,Japan,26,0,0,95,0
2021-11-07,Sweden,1,0,0,8,0
2021-11-08,Afghanistan,5,0,0,32,0
2021-11-08,Japan,26,0,0,95,0
2021-11-08,Sweden,1,0,0,8,0
2021-11-09,Afghanistan,5,0,0,32,0
2021-11-09,Japan,26,0,0,95,0
2021-11-09,Sweden,1,0,0,8,0
2021-11-10,Afghanistan,5,0,0,32,0
2021-11-10,Japan,26,0,0,95,0
2021-11-10,Sweden,1,0,0,8,0
2021-11-11,Afghanistan,5,0,0,32,0
2021-11-11,Japan,26,0,0,95,0
2021-11-11,Sweden,1,0,0,8,0
2021-11-12,Afghanistan,5,0,0,32,0
2021-11-12,Japan,26,0,0,95,0
2021-11-12,Sweden,1,0,0,8,0
2021-11-13,Afghanistan,5,0,0,32,0
2021-11-13,Japan,26,0,0,95,0
2021-11-13,Sweden,1,0,0,8,0
2021-11-14,Afghanistan,5,0,0,32,0
2021-11-14,Japan,26,0,0,95,0
2021-11-14,Sweden,1,0,0,8,0
2021-11-15,Afghanistan,5,0,0,32,0
2021-11-15,Japan,26,0,0,95,0
2021-11-15,Sweden,1,0,0,8,0
2021-11-16,Afghanistan,5,0,0,32,0
2021-11-16,Japan,26,0,0,95,0
2021-11-16,Sweden,1,0,0,8,0
2021-11-17,Afghanistan,5,0,0,32,0
2021-11-17,Japan,26,0,0,95,0
2021-11-17,Sweden,1,0,0,8,0
2021-11-18,Afghanistan,5,0,0,32,0
2021-11-18,Japan,26,0,0,95,0
2021-11-18,Sweden,1,0,0,8,0
2021-11-19,Afghanistan,5,0,0,32,0
2021-11-19,Japan,26,0,0,95,0
2021-11-19,Sweden,1,0,0,8,0
2021-11-20,Afghanistan,5,0,0,32,0
2021-11-20,Japan,26,0,0,95,0
2021-11-20,Sweden,1,0,0,8,0
2021-11-21,Afghanistan,5,0,0,32,0
2021-11-21,Japan,26,0,0,95,0
2021-11-21,Sweden,1,0,0,8,0
2021-11-22,Afghanistan,5,0,0,32,0
2021-11-22,Japan,26,0,0,95,0
2021-11-22,Sweden,1,0,0,8,0
2021-11-23,Afghanistan,5,0,0,32,0
2021-11-23,Japan,26,0,0,95,0
2021-11-23,Sweden,1,0,0,8,0
2021-11-24,Afghanistan,5,0,0,32,0
2021-11-24,Japan,26,0,0,95,0
2021-11-24,Sweden,1,0,0,8,0
2021-11-25,Afghanistan,5,0,0,32,0
2021-11-25,Japan,26,0,0,95,0
2021-11-25,Sweden,1,0,0,8,0
2021-11-26,Afghanistan,5,0,0,32,0
2021-11-26,Japan,26,0,0,95,0
2021-11-26,Sweden,1,0,0,8,0
2021-11-27,Afghanistan,5,0,0,32,0
2021-11-27,Japan,26,0,0,95,0
2021-11-27,Sweden,1,0,0,8,0
2021-11-28,Afghanistan,5,0,0,32,0
2021-11-28,Japan,26,0,0,95,0
2021-11-28,Sweden,1,0,0,8,0
2021-11-29,Afghanistan,5,0,0,32,0
2021-11-29,Japan,26,0,0,95,0
2021-11-29,Sweden,1,0,0,8,0
2021-11-30,Afghanistan,5,0,0,32,0
2021-11-30,Japan,26,0,0,95,0
2021-11-30,Sweden,1,0,0,8,0
2021-12-01,Afghanistan,5,0,0,32,0
2021-12-01,Japan,26,0,0,95,0
2021-12-01,Sweden,1,0,0,8,0
2021-12-02,Afghanistan,5,0,0,32,0
2021-12-02,Japan,26,0,0,95,0
2021-12-02,Sweden,1,0,0,8,0
2021-12-03,Afghanistan,5,0,0,32,0
2021-12-03,Japan,26,0,0,95,0
2021-12-03,Sweden,1,0,0,8,0
2021-12-04,Afghanistan,5,0,0,32,0
2021-12-04,Japan,26,0,0,95,0
2021-12-04,Sweden,1,0,0,8,0
2021-12-05,Afghanistan,5,0,0,32,0
2021-12-05,Japan,26,0,0,95,0
2021-12-05,Sweden,1,0,0,8,0
2021-12-06,Afghanistan,5,0,0,32,0
2021-12-06,Japan,26,0,0,95,0
2021-12-06,Sweden,1,0,0,8,0
2021-12-07,Afghanistan,5,1,0,31,0
2021-12-07,Japan,26,3,0,92,0
2021-12-07,Sweden,1,0,0,8,0
2021-12-08,Afghanistan,5,3,0,29,0
2021-12-08,Japan,26,6,0,89,0
2021-12-08,Sweden,1,1,0,7,0
2021-12-09,Afghanistan,5,2,1,29,0
2021-12-09,Japan,26,8,0,87,0
2021-12-09,Sweden,1,1,0,7,0
2021-12-10,Afghanistan,5,0,3,29,0
2021-12-10,Japan,26,7,1,87,0
2021-12-10,Sweden,1,0,1,7,0
2021-12-11,Afghanistan,5,1,3,28,0
2021-12-11,Japan,26,10,2,83,0
2021-12-11,Sweden,1,0,1,7,0
2021-12-12,Afghanistan,5,3,3,26,0
2021-12-12,Japan,26,13,5,77,0
2021-12-12,Sweden,1,0,1,7,0
2021-12-13,Afghanistan,5,2,3,26,1
2021-12-13,Japan,26,12,8,75,0
2021-12-13,Sweden,1,0,1,7,0
2021-12-14,Afghanistan,5,2,1,26,3
2021-12-14,Japan,26,10,10,74,1
2021-12-14,Sweden,1,2,0,6,0
2021-12-15,Afghanistan,5,1,2,26,3
2021-12-15,Japan,26,6,13,74,2
2021-12-15,Sweden,1,2,0,6,0
2021-12-16,Afghanistan,5,1,2,26,3
2021-12-16,Japan,26,5,11,76,3
2021-12-16,Sweden,1,2,0,6,0
2021-12-17,Afghanistan,5,1,1,26,4
2021-12-17,Japan,26,6,9,77,3
2021-12-17,Sweden,1,2,0,6,0
2021-12-18,Afghanistan,5,1,1,26,4
2021-12-18,Japan,26,7,7,76,5
2021-12-18,Sweden,1,2,0,6,0
2021-12-19,Afghanistan,5,1,0,26,5
2021-12-19,Japan,26,7,3,78,7
2021-12-19,Sweden,1,2,0,6,0
2021-12-20,Afghanistan,5,1,0,26,5
2021-12-20,Japan,26,5,6,77,7
2021-12-20,Sweden,1,1,1,6,0
2021-12-21,Afghanistan,5,1,0,26,5
2021-12-21,Japan,26,8,5,75,7
2021-12-21,Sweden,1,2,1,5,0
2021-12-22,Afghanistan,5,1,1,25,5
2021-12-22,Japan,26,16,6,65,8
2021-12-22,Sweden,1,1,2,5,0
2021-12-23,Afghanistan,5,4,1,22,5
2021-12-23,Japan,26,15,12,60,8
2021-12-23,Sweden,1,2,2,4,0
2021-12-24,Afghanistan,5,4,2,21,5
2021-12-24,Japan,26,21,8,56,10
2021-12-24,Sweden,1,1,2,4,1
2021-12-25,Afghanistan,5,6,3,18,5
2021-12-25,Japan,26,17,14,54,10
2021-12-25,Sweden,1,3,2,2,1
2021-12-26,Afghanistan,5,7,2,18,5
2021-12-26,Japan,26,21,13,50,11
2021-12-26,Sweden,1,1,3,3,1
2021-12-27,Afghanistan,5,6,4,18,4
2021-12-27,Japan,26,13,15,53,14
2021-12-27,Sweden,1,1,3,3,1
2021-12-28,Afghanistan,5,6,3,20,3
2021-12-28,Japan,26,16,15,51,13
2021-12-28,Sweden,1,1,2,3,2
2021-12-29,Afghanistan,5,6,3,19,4
2021-12-29,Japan,27,15,13,52,14
2021-12-29,Sweden,1,0,3,3,2
2021-12-30,Afghanistan,5,5,4,19,4
2021-12-30,Japan,27,9,18,54,13
2021-12-30,Sweden,1,0,1,5,2
2021-12-31,Afghanistan,5,3,4,22,3
2021-12-31,Japan,27,8,12,55,19
2021-12-31,Sweden,1,0,1,5,2
2022-01-01,Afghanistan,5,4,4,21,3
2022-01-01,Japan,29,8,13,54,17
2022-01-01,Sweden,1,0,1,5,2
2022-01-02,Afghanistan,5,4,4,22,2
2022-01-02,Japan,29,8,11,55,18
2022-01-02,Sweden,1,0,0,5,3
2022-01-03,Afghanistan,5,3,4,22,3
2022-01-03,Japan,29,8,5,60,19
2022-01-03,Sweden,1,0,0,5,3
2022-01-04,Afghanistan,5,6,2,19,5
2022-01-04,Japan,29,10,4,57,21
2022-01-04,Sweden,1,0,0,5,3
2022-01-05,Afghanistan,5,7,3,17,5
2022-01-05,Japan,29,13,4,54,21
2022-01-05,Sweden,1,0,0,5,3
2022-01-06,Afghanistan,5,3,7,16,6
2022-01-06,Japan,29,12,4,53,23
2022-01-06,Sweden,1,0,0,5,3
2022-01-07,Afghanistan,5,3,6,17,6
2022-01-07,Japan,29,13,6,52,21
2022-01-07,Sweden,2,0,0,5,2
2022-01-08,Afghanistan,5,3,6,17,6
2022-01-08,Japan,29,12,7,51,22
2022-01-08,Sweden,2,1,0,4,2
2022-01-09,Afghanistan,5,3,5,18,6
2022-01-09,Japan,29,12,10,48,22
2022-01-09,Sweden,2,0,1,4,2
2022-01-10,Afghanistan,5,2,1,22,7
2022-01-10,Japan,30,9,12,50,20
2022-01-10,Sweden,2,0,1,4,2
2022-01-11,Afghanistan,5,2,2,22,6
2022-01-11,Japan,30,9,12,50,20
2022-01-11,Sweden,2,0,1,5,1
2022-01-12,Afghanistan,5,1,3,23,5
2022-01-12,Japan,30,9,11,53,18
2022-01-12,Sweden,2,0,1,5,1
2022-01-13,Afghanistan,5,3,3,21,5
2022-01-13,Japan,30,8,10,51,22
2022-01-13,Sweden,2,0,0,6,1
2022-01-14,Afghanistan,5,2,3,22,5
2022-01-14,Japan,32,8,6,57,18
2022-01-14,Sweden,2,0,0,6,1
2022-01-15,Afghanistan,5,2,2,23,5
2022-01-15,Japan,32,8,5,56,20
2022-01-15,Sweden,2,0,0,6,1
2022-01-16,Afghanistan,5,2,1,24,5
2022-01-16,Japan,33,8,5,57,18
2022-01-16,Sweden,2,0,0,7,0
2022-01-17,Afghanistan,5,3,1,24,4
2022-01-17,Japan,33,6,4,61,17
2022-01-17,Sweden,2,0,0,7,0
2022-01-18,Afghanistan,5,3,0,27,2
2022-01-18,Japan,34,4,6,62,15
2022-01-18,Sweden,2,0,0,7,0
2022-01-19,Afghanistan,5,3,0,27,2
2022-01-19,Japan,34,3,6,63,15
2022-01-19,Sweden,2,0,0,7,0
2022-01-20,Afghanistan,5,3,0,28,1
2022-01-20,Japan,35,3,6,64,13
2022-01-20,Sweden,2,0,0,7,0
2022-01-21,Afghanistan,5,3,0,28,1
2022-01-21,Japan,35,0,7,65,14
2022-01-21,Sweden,2,0,0,7,0
2022-01-22,Afghanistan,5,3,0,28,1
2022-01-22,Japan,35,0,5,66,15
2022-01-22,Sweden,2,0,0,7,0
2022-01-23,Afghanistan,5,3,0,28,1
2022-01-23,Japan,36,0,4,66,15
2022-01-23,Sweden,2,0,0,7,0
2022-01-24,Afghanistan,5,2,1,29,0
2022-01-24,Japan,36,0,3,68,14
2022-01-24,Sweden,2,0,0,7,0
2022-01-25,Afghanistan,5,1,2,29,0
2022-01-25,Japan,36,0,0,68,17
2022-01-25,Sweden,2,0,0,7,0
2022-01-26,Afghanistan,5,1,2,29,0
2022-01-26,Japan,36,0,0,68,17
2022-01-26,Sweden,2,0,0,7,0
2022-01-27,Afghanistan,5,1,2,29,0
2022-01-27,Japan,36,0,0,72,13
2022-01-27,Sweden,2,0,0,7,0
2022-01-28,Afghanistan,5,1,1,30,0
2022-01-28,Japan,38,0,0,72,11
2022-01-28,Sweden,2,0,0,7,0
2022-01-29,Afghanistan,5,1,0,31,0
2022-01-29,Japan,38,0,0,74,9
2022-01-29,Sweden,2,0,0,7,0
2022-01-30,Afghanistan,5,0,1,31,0
2022-01-30,Japan,38,0,0,75,8
2022-01-30,Sweden,2,0,0,7,0
2022-01-31,Afghanistan,5,0,1,31,0
2022-01-31,Japan,38,0,0,75,8
2022-01-31,Sweden,2,0,0,7,0
2022-02-01,Afghanistan,5,0,1,31,0
2022-02-01,Japan,38,0,0,75,8
2022-02-01,Sweden,2,0,0,7,0
2022-02-02,Afghanistan,5,0,1,31,0
2022-02-02,Japan,39,1,0,74,7
2022-02-02,Sweden,2,0,0,7,0
2022-02-03,Afghanistan,5,0,0,31,1
2022-02-03,Japan,39,1,0,74,7
2022-02-03,Sweden,2,0,0,7,0
2022-02-04,Afghanistan,5,1,0,30,1
2022-02-04,Japan,39,2,0,74,6
2022-02-04,Sweden,2,0,0,7,0
2022-02-05,Afghanistan,5,0,1,30,1
2022-02-05,Japan,39,2,0,76,4
2022-02-05,Sweden,2,0,0,7,0
2022-02-06,Afghanistan,5,0,1,30,1
2022-02-06,Japan,39,2,0,77,3
2022-02-06,Sweden,2,0,0,7,0
2022-02-07,Afghanistan,5,0,1,30,1
2022-02-07,Japan,39,1,1,77,3
2022-02-07,Sweden,2,0,0,7,0
2022-02-08,Afghanistan,5,2,1,28,1
2022-02-08,Japan,39,1,1,80,0
2022-02-08,Sweden,2,0,0,7,0
2022-02-09,Afghanistan,5,1,1,28,2
2022-02-09,Japan,39,1,1,80,0
2022-02-09,Sweden,2,0,0,7,0
2022-02-10,Afghanistan,5,0,2,28,2
2022-02-10,Japan,39,1,1,80,0
2022-02-10,Sweden,2,0,0,7,0
2022-02-11,Afghanistan,5,0,2,28,2
2022-02-11,Japan,39,1,0,81,0
2022-02-11,Sweden,2,0,0,7,0
2022-02-12,Afghanistan,5,0,2,28,2
2022-02-12,Japan,39,1,0,81,0
2022-02-12,Sweden,2,0,0,7,0
2022-02-13,Afghanistan,5,0,1,29,2
2022-02-13,Japan,39,1,0,81,0
2022-02-13,Sweden,2,0,0,7,0
2022-02-14,Afghanistan,5,0,0,29,3
2022-02-14,Japan,39,1,0,81,0
2022-02-14,Sweden,2,0,0,7,0
2022-02-15,Afghanistan,5,0,0,29,3
2022-02-15,Japan,39,1,0,81,0
2022-02-15,Sweden,2,0,0,7,0
2022-02-16,Afghanistan,5,0,0,29,3
2022-02-16,Japan,39,1,0,81,0
2022-02-16,Sweden,2,0,0,7,0
2022-02-17,Afghanistan,5,0,0,30,2
2022-02-17,Japan,39,0,1,81,0
2022-02-17,Sweden,2,0,0,7,0
2022-02-18,Afghanistan,5,0,0,30,2
2022-02-18,Japan,39,0,1,81,0
2022-02-18,Sweden,2,0,0,7,0
2022-02-19,Afghanistan,5,0,0,30,2
2022-02-19,Japan,39,0,1,81,0
2022-02-19,Sweden,2,0,0,7,0
2022-02-20,Afghanistan,5,0,0,30,2
2022-02-20,Japan,39,0,1,81,0
2022-02-20,Sweden,2,0,0,7,0
2022-02-21,Afghanistan,5,0,0,30,2
2022-02-21,Japan,39,0,0,81,1
2022-02-21,Sweden,2,0,0,7,0
2022-02-22,Afghanistan,5,0,0,30,2
2022-02-22,Japan,39,0,0,81,1
2022-02-22,Sweden,2,0,0,7,0
2022-02-23,Afghanistan,5,0,0,31,1
2022-02-23,Japan,39,0,0,81,1
2022-02-23,Sweden,2,0,0,7,0
2022-02-24,Afghanistan,5,0,0,31,1
2022-02-24,Japan,39,0,0,81,1
2022-02-24,Sweden,2,0,0,7,0
2022-02-25,Afghanistan,5,0,0,31,1
2022-02-25,Japan,39,0,0,81,1
2022-02-25,Sweden,2,0,0,7,0
2022-02-26,Afghanistan,5,0,0,31,1
2022-02-26,Japan,39,0,0,81,1
2022-02-26,Sweden,2,0,0,7,0
2022-02-27,Afghanistan,5,0,0,31,1
2022-02-27,Japan,39,0,0,81,1
2022-02-27,Sweden,2,0,0,7,0
2022-02-28,Afghanistan,5,0,0,32,0
2022-02-28,Japan,39,0,0,81,1
2022-02-28,Sweden,2,0,0,7,0
2022-03-01,Afghanistan,5,0,0,32,0
2022-03-01,Japan,39,0,0,81,1
2022-03-01,Sweden,2,0,0,7,0
2022-03-02,Afghanistan,5,0,0,32,0
2022-03-02,Japan,39,0,0,81,1
2022-03-02,Sweden,2,0,0,7,0
2022-03-03,Afghanistan,5,0,0,32,0
2022-03-03,Japan,39,0,0,81,1
2022-03-03,Sweden,2,0,0,7,0
2022-03-04,Afghanistan,5,0,0,32,0
2022-03-04,Japan,39,0,0,81,1
2022-03-04,Sweden,2,0,0,7,0
2022-03-05,Afghanistan,5,0,0,32,0
2022-03-05,Japan,39,0,0,81,1
2022-03-05,Sweden,2,0,0,7,0
2022-03-06,Afghanistan,5,0,0,32,0
2022-03-06,Japan,39,0,0,81,1
2022-03-06,Sweden,2,0,0,7,0
2022-03-07,Afghanistan,5,0,0,32,0
2022-03-07,Japan,39,0,0,82,0
2022-03-07,Sweden,2,0,0,7,0
2022-03-08,Afghanistan,5,0,0,32,0
2022-03-08,Japan,39,0,0,82,0
2022-03-08,Sweden,2,0,0,7,0
2022-03-09,Afghanistan,5,0,0,32,0
2022-03-09,Japan,39,0,0,82,0
2022-03-09,Sweden,2,0,0,7,0
2022-03-10,Afghanistan,5,0,0,32,0
2022-03-10,Japan,39,0,0,82,0
2022-03-10,Sweden,2,0,0,7,0
2022-03-11,Afghanistan,5,0,0,32,0
2022-03-11,Japan,39,0,0,82,0
2022-03-11,Sweden,2,0,0,7,0
2022-03-12,Afghanistan,5,0,0,32,0
2022-03-12,Japan,39,0,0,82,0
2022-03-12,Sweden,2,0,0,7,0
2022-03-13,Afghanistan,5,0,0,32,0
2022-03-13,Japan,39,0,0,82,0
2022-03-13,Sweden,2,0,0,7,0
2022-03-14,Afghanistan,5,0,0,32,0
2022-03-14,Japan,39,0,0,82,0
2022-03-14,Sweden,2,0,0,7,0
2022-03-15,Afghanistan,5,0,0,32,0
2022-03-15,Japan,39,0,0,82,0
2022-03-15,Sweden,2,0,0,7,0
2022-03-16,Afghanistan,5,0,0,32,0
2022-03-16,Japan,39,0,0,82,0
2022-03-16,Sweden,2,0,0,7,0
2022-03-17,Afghanistan,5,0,0,32,0
2022-03-17,Japan,39,0,0,82,0
2022-03-17,Sweden,2,0,0,7,0
2022-03-18,Afghanistan,5,0,0,32,0
2022-03-18,Japan,39,0,0,82,0
2022-03-18,Sweden,2,0,0,7,0
2022-03-19,Afghanistan,5,0,0,32,0
2022-03-19,Japan,39,0,0,82,0
2022-03-19,Sweden,2,0,0,7,0
2022-03-20,Afghanistan,5,0,0,32,0
2022-03-20,Japan,39,0,0,82,0
2022-03-20,Sweden,2,0,0,7,0
2022-03-21,Afghanistan,5,0,0,32,0
2022-03-21,Japan,39,0,0,82,0
2022-03-21,Sweden,2,0,0,7,0
2022-03-22,Afghanistan,5,0,0,32,0
2022-03-22,Japan,39,0,0,82,0
2022-03-22,Sweden,2,0,0,7,0
2022-03-23,Afghanistan,5,0,0,32,0
2022-03-23,Japan,39,0,0,82,0
2022-03-23,Sweden,2,0,0,7,0
2022-03-24,Afghanistan,5,0,0,32,0
2022-03-24,Japan,39,0,0,82,0
2022-03-24,Sweden,2,0,0,7,0
2022-03-25,Afghanistan,5,0,0,32,0
2022-03-25,Japan,39,0,0,82,0
2022-03-25,Sweden,2,0,0,7,0
2022-03-26,Afghanistan,5,0,0,32,0
2022-03-26,Japan,39,0,0,82,0
2022-03-26,Sweden,2,0,0,7,0
2022-03-27,Afghanistan,5,0,0,32,0
2022-03-27,Japan,39,0,0,82,0
2022-03-27,Sweden,2,0,0,7,0
2022-03-28,Afghanistan,5,0,0,32,0
2022-03-28,Japan,39,0,0,82,0
2022-03-28,Sweden,2,0,0,7,0
2022-03-29,Afghanistan,5,0,0,32,0
2022-03-29,Japan,39,0,0,82,0
2022-03-29,Sweden,2,0,0,7,0
2022-03-30,Afghanistan,5,0,0,32,0
2022-03-30,Japan,39,0,0,82,0
2022-03-30,Sweden,2,0,0,7,0
2022-03-31,Afghanistan,5,0,0,32,0
2022-03-31,Japan,39,0,0,82,0
2022-03-31,Sweden,2,0,0,7,0
2022-04-01,Afghanistan,5,0,0,32,0
2022-04-01,Japan,39,0,0,82,0
2022-04-01,Sweden,2,0,0,7,0
2022-04-02,Afghanistan,5,0,0,32,0
2022-04-02,Japan,39,0,0,82,0
2022-04-02,Sweden,2,0,0,7,0
2022-04-03,Afghanistan,5,0,0,32,0
2022-04-03,Japan,39,0,0,82,0
2022-04-03,Sweden,2,0,0,7,0
2022-04-04,Afghanistan,5,0,0,32,0
2022-04-04,Japan,39,0,0,82,0
2022-04-04,Sweden,2,0,0,7,0
2022-04-05,Afghanistan,5,0,0,32,0
2022-04-05,Japan,39,0,0,82,0
2022-04-05,Sweden,2,0,0,7,0
2022-04-06,Afghanistan,5,0,0,32,0
2022-04-06,Japan,39,0,0,82,0
2022-04-06,Sweden,2,0,0,7,0
2022-04-07,Afghanistan,5,0,0,32,0
2022-04-07,Japan,39,0,0,82,0
2022-04-07,Sweden,2,0,0,7,0
2022-04-08,Afghanistan,5,0,0,32,0
2022-04-08,Japan,39,0,0,82,0
2022-04-08,Sweden,2,0,0,7,0
2022-04-09,Afghanistan,5,0,0,32,0
2022-04-09,Japan,39,0,0,82,0
2022-04-09,Sweden,2,0,0,7,0
2022-04-10,Afghanistan,5,0,0,32,0
2022-04-10,Japan,39,0,0,82,0
2022-04-10,Sweden,2,0,0,7,0
2022-04-11,Afghanistan,5,0,0,32,0
2022-04-11,Japan,39,0,0,82,0
2022-04-11,Sweden,2,0,0,7,0
2022-04-12,Afghanistan,5,0,0,32,0
2022-04-12,Japan,39,0,0,82,0
2022-04-12,Sweden,2,0,0,7,0
2022-04-13,Afghanistan,5,0,0,32,0
2022-04-13,Japan,39,0,0,82,0
2022-04-13,Sweden,2,1,0,6,0
2022-04-14,Afghanistan,5,0,0,32,0
2022-04-14,Japan,39,0,0,82,0
2022-04-14,Sweden,2,0,1,6,0
2022-04-15,Afghanistan,5,0,0,32,0
2022-04-15,Japan,39,2,0,80,0
2022-04-15,Sweden,2,0,1,6,0
2022-04-16,Afghanistan,5,0,0,32,0
2022-04-16,Japan,39,4,1,77,0
2022-04-16,Sweden,2,0,1,6,0
2022-04-17,Afghanistan,5,0,0,32,0
2022-04-17,Japan,39,4,2,76,0
2022-04-17,Sweden,2,0,1,6,0
2022-04-18,Afghanistan,5,0,0,32,0
2022-04-18,Japan,39,3,5,74,0
2022-04-18,Sweden,2,0,0,6,1
2022-04-19,Afghanistan,5,0,0,32,0
2022-04-19,Japan,39,4,5,73,0
2022-04-19,Sweden,2,0,0,6,1
2022-04-20,Afghanistan,5,0,0,32,0
2022-04-20,Japan,39,3,6,72,1
2022-04-20,Sweden,2,0,0,6,1
2022-04-21,Afghanistan,5,0,0,32,0
2022-04-21,Japan,39,3,5,73,1
2022-04-21,Sweden,2,0,0,6,1
2022-04-22,Afghanistan,5,0,0,32,0
2022-04-22,Japan,39,2,3,74,3
2022-04-22,Sweden,2,0,0,6,1
2022-04-23,Afghanistan,5,0,0,32,0
2022-04-23,Japan,39,3,4,72,3
2022-04-23,Sweden,2,0,0,6,1
2022-04-24,Afghanistan,5,0,0,32,0
2022-04-24,Japan,39,2,3,74,3
2022-04-24,Sweden,2,0,0,6,1
2022-04-25,Afghanistan,5,1,0,31,0
2022-04-25,Japan,39,2,4,73,3
2022-04-25,Sweden,2,1,0,5,1
2022-04-26,Afghanistan,5,2,0,30,0
2022-04-26,Japan,39,4,4,70,4
2022-04-26,Sweden,2,0,1,5,1
2022-04-27,Afghanistan,5,4,0,28,0
2022-04-27,Japan,39,3,5,69,5
2022-04-27,Sweden,2,0,1,5,1
2022-04-28,Afghanistan,5,4,0,28,0
2022-04-28,Japan,39,6,5,66,5
2022-04-28,Sweden,2,0,1,5,1
2022-04-29,Afghanistan,5,4,0,28,0
2022-04-29,Japan,39,8,4,65,5
2022-04-29,Sweden,2,2,1,3,1
2022-04-30,Afghanistan,5,6,1,25,0
2022-04-30,Japan,39,8,5,64,5
2022-04-30,Sweden,2,2,0,4,1
